geometry,amenity,brand,brand:wikidata,healthcare,name,dispensing,addr:street,longitude,latitude
POINT (80.243327 13.0645397),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.243327,13.0645397
POINT (80.2555018 13.0348418),pharmacy,,,pharmacy,Appolo,,,80.25550180000002,13.034841800000002
POINT (80.2517685 13.0386303),pharmacy,,,pharmacy,Sugam,,,80.2517685,13.038630299999996
POINT (80.2502927 13.039551),pharmacy,,,pharmacy,Sugam,,,80.2502927,13.039551
POINT (80.2500307 13.0402754),pharmacy,,,pharmacy,,,,80.2500307,13.0402754
POINT (80.2429776 13.0202464),pharmacy,,,,,,,80.2429776,13.020246399999998
POINT (80.2429432 13.0201628),pharmacy,,,,,,,80.2429432,13.0201628
POINT (80.2040147 13.0540717),pharmacy,,,pharmacy,Abhirami Medicals,,,80.2040147,13.054071699999996
POINT (80.1939439 13.0570316),pharmacy,,,pharmacy,Geetha Pharmacy,,,80.1939439,13.0570316
POINT (80.2083688 13.0726659),pharmacy,,,,Seven Star Pharmacy,,,80.2083688,13.0726659
POINT (80.2272823 13.04426),pharmacy,,,pharmacy,,,,80.22728230000001,13.044259999999998
POINT (80.1859118 13.039837),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.1859118,13.039837
POINT (80.2081591 13.0706398),pharmacy,,,,Seetha Medicals,,,80.2081591,13.0706398
POINT (80.2039626 13.0529156),pharmacy,,,pharmacy,Om Medicals,,,80.2039626,13.0529156
POINT (80.2539531 13.029475),pharmacy,,,pharmacy,Apollo,,,80.2539531,13.029475
POINT (80.2638653 13.0279792),pharmacy,,,pharmacy,Capz and Tabz,,,80.2638653,13.0279792
POINT (80.2028228 12.9267155),pharmacy,,,pharmacy,,,,80.2028228,12.926715499999998
POINT (80.1805122 13.0386116),pharmacy,,,,Uma Medicals,,,80.1805122,13.038611599999998
POINT (80.2581824 12.9738813),pharmacy,,,pharmacy,Meiyappan Medicals,yes,,80.2581824,12.973881299999997
POINT (80.2371106 13.1417058),pharmacy,,,pharmacy,Ganapathy medicals,,,80.2371106,13.141705800000002
POINT (80.2289781 12.9809069),pharmacy,,,pharmacy,,,,80.2289781,12.980906900000004
POINT (80.2029696 12.9294425),pharmacy,,,pharmacy,Saravana Medicals,,,80.2029696,12.9294425
